day,pred,actual,entry,exit,gross_ret,net_ret
2025-09-09,1,1,651.42,651.48,9.210647508539616e-05,-0.0009078935249146039
2025-09-10,1,1,653.28,653.12,-0.0002449179524858236,-0.0012449179524858236
2025-09-11,1,0,657.0,656.92,-0.00012176560121768265,-0.0011217656012176827
2025-09-15,1,1,662.36,662.06,-0.00045292590132262056,-0.0014529259013226206
2025-09-16,1,1,659.96,660.05,0.00013637190132720356,-0.0008636280986727965
2025-09-17,1,1,664.75,665.0,0.00037608123354648804,-0.000623918766453512
2025-09-18,1,0,661.16,661.39,0.0003478734345696566,-0.0006521265654303434
2025-09-22,1,1,666.88,666.98,0.00014995201535517033,-0.0008500479846448297
2025-09-23,1,0,664.52,664.38,-0.00021067838439770004,-0.0012106783843977
2025-09-24,1,1,660.94,660.92,-3.0259932823129e-05,-0.001030259932823129
2025-09-25,1,0,658.16,658.44,0.0004254284672420283,-0.0005745715327579717
2025-09-29,1,0,662.63,662.63,0.0,-0.001
2025-09-30,1,1,662.99,662.75,-0.0003619964102022921,-0.0013619964102022921
2025-10-01,1,1,669.51,669.16,-0.0005227703843109222,-0.0015227703843109222
2025-10-02,1,1,671.13,671.38,0.0003725060718489104,-0.0006274939281510896
2025-10-06,1,0,671.48,671.5,2.9784952641831453e-05,-0.0009702150473581686
2025-10-07,1,1,670.16,670.21,7.460904858547224e-05,-0.0009253909514145278
2025-10-08,1,1,673.08,673.27,0.00028228442384259367,-0.0007177155761574064
2025-10-09,1,1,671.59,671.4,-0.00028291070444774746,-0.0012829107044477475
2025-10-13,1,0,658.13,657.66,-0.0007141446218832392,-0.0017141446218832393
2025-10-14,1,1,665.88,666.33,0.0006757974409803413,-0.0003242025590196587
2025-10-15,1,1,667.04,666.62,-0.0006296473974574113,-0.0016296473974574113
2025-10-16,1,0,654.35,654.56,0.0003209291663481828,-0.0006790708336518172
2025-10-20,1,1,670.82,670.82,0.0,-0.001
2025-10-21,1,0,671.62,671.73,0.00016378309162923266,-0.0008362169083707674
2025-10-22,1,0,667.85,668.01,0.00023957475481006796,-0.0007604252451899321
2025-10-23,1,1,674.06,674.3,0.000356051390083989,-0.000643948609916011
2025-10-27,1,1,685.03,684.94,-0.0001313811073966331,-0.0011313811073966331
2025-10-28,1,1,687.84,687.77,-0.00010176785298909863,-0.0011017678529890986
2025-10-29,1,0,686.3,685.84,-0.0006702608188837722,-0.0016702608188837722
2025-10-30,1,1,685.05,684.88,-0.00024815706882708177,-0.0012481570688270818
